"","SL05_5_RC5_01_4284","SL05_10_RD2_01_4361","SL05_2_RC2_01_4250","SL05_11_RD3_01_4382","SL05_5_RC5_01_4366","SL05_7_RC7_01_4311","SL05_3_RC3_01_4293","SL05_14_RD6_01_4381","SL05_13_RD5_01_4392","SL05_1_RC1_01_4341","SL05_15_RD7_01_4337","SL05_4_RC4_01_4268","SL05_10_RD2_01_4279","SL05_6_RC6_01_4358","SL05_7_RC7_01_4393","SL05_12_RD4_01_4247","SL05_15_RD7_01_4255","SL05_13_RD5_01_4310","SL05_9_RD1_01_4260","SL05_11_RD3_01_4300","SL05_3_RC3_01_4375","SL05_6_RC6_01_4276","SL05_14_RD6_01_4299","SL05_2_RC2_01_4332","SL05_12_RD4_01_4329","SL05_8_RC8_01_4377","SL05_8_RC8_01_4295","SL05_4_RC4_01_4350","SL05_1_RC1_01_4259","SL05_9_RD1_01_4342"
"1",16.445668983747,13.927055620946,16.8672315054928,13.3260822996647,13.7611928805845,16.8346863974774,16.6484698275195,13.8229158136845,13.2765630519646,14.01411686797,14.461732349511,16.9018673047296,16.7897260602497,14.3993886328175,13.7232180496807,15.8755946960983,16.4055440188615,16.341796636731,16.9986942331987,16.5441910614938,13.8905068952359,17.4553651014699,16.8275394460962,14.2049342137456,13.8875469492726,13.7315424670285,17.1002927488813,14.3483359048462,16.3456832603088,14.0501449162806
"2",22.447795186806,19.6106292832869,22.8329658052298,19.8957015585236,19.7189456570271,23.6246637296524,22.2763960723385,19.5907779946793,18.6815741835574,20.0602894027608,20.5501880555404,23.2470056816435,22.3833210436311,20.4652163837394,20.8082002393486,22.0283158500996,22.7021175045129,21.9732428760236,23.0601424304422,22.9367511482828,19.31729225755,22.99846208564,22.4592865205228,20.5474193988965,19.7465535815005,19.8647095619303,22.8215929954605,20.8415368992258,22.6809266994567,20.6891514985411
"3",18.5410966153495,15.4389287500988,20.0191396935033,14.4485728340156,15.4030394674172,20.3192345350338,17.4949533386402,15.4970312173418,13.2731222969915,15.1996618619504,15.9983376041096,18.8481046401085,18.4135261843333,15.2752585069964,16.4614334830318,18.0533132592346,18.8571148916638,17.4920771302877,18.7165119943031,18.010167987069,13.6593443112118,18.326155694767,19.216365617173,17.3888990129126,15.3593393824657,15.7831337336009,19.1984781647843,15.1186101944516,18.7234255561189,15.7272018165615
"4",19.7201497799349,15.8226628214845,18.2584639582246,17.3541935473819,16.4508099021345,18.6422539081436,20.4894183981689,16.4969039892593,16.1192139228111,16.2308891411077,17.9797556584201,20.473608154993,19.1099417349195,17.4075338503099,15.3434778472328,19.2361048726784,20.4140196049215,19.5067867344602,20.3588907338467,20.8768991862784,16.9439505921387,20.8070370631056,19.6292861297915,15.3973188438377,16.4586247631924,17.5791789568187,21.3596310764257,17.5290390789547,19.473352123499,17.1801733827331
"5",13.1029731772386,13.6633714501433,17.1184880562185,10.9642278638084,11.149813469251,15.1137811068152,14.5915029435711,15.6812330491619,13.8194450161105,13.9956913402778,14.56410464033,14.1451912979017,16.1050321660648,10.3829739624966,11.9104671584146,13.1158044236892,14.1189109359252,16.9047278644399,15.7724551331764,13.8924073697993,12.0717818134112,12.659974450015,18.40910783706,14.4108608369828,11.4449751763841,14.4844476434478,17.567325978675,11.9396206408843,16.4020708146096,13.3539884898322
"6",15.7805050255484,14.13937632468,19.1296594034689,15.6598662530331,13.1628057276046,18.1607122335552,17.7239458586765,14.1918312416104,14.5520756881662,14.9180973730978,15.4580557268995,16.3082112473388,16.7708063269883,13.7165529174446,15.2836256293711,17.0084149435409,17.5044598136033,17.740378745454,18.8697310728026,18.6847393121847,14.8362863698944,16.3838490226021,17.2982837024774,16.6898238763325,14.7405946069074,15.101559612833,18.4816299617946,13.8634293526822,17.6789343769021,16.1026730526824
"7",12.6496102731617,13.5290899700781,15.8542979090933,11.3778934130933,11.301284237918,14.0951545688273,15.5782166139688,14.9619985877956,13.1603931075518,13.2504158199893,14.804862487868,12.5995419644934,16.4133552164357,11.1910294971289,11.962967632765,15.5198945168533,14.3918989380938,16.4242180699374,15.6666825751533,13.4046374612029,12.8009933813468,11.5532776164576,17.8881192045823,13.0975851501398,13.272850012709,14.505615566263,17.7314857043884,11.7297450705123,16.0242983146319,12.8353055479096
"8",15.385560164876,15.2963513677262,18.9914750499557,11.7679016521159,13.0075046878774,16.9186368960373,16.7541561736699,12.7544222840815,14.9500756298507,15.6677927524048,15.5832159664562,15.6043800492406,15.8731147645169,12.1857399001605,13.6867659503368,14.8358154580018,15.6195535992384,18.0147289954986,16.6070767878141,15.69407824525,14.1870751939497,14.6092370272242,14.9876677946865,16.3446832984162,12.7764243976341,11.1596973711917,13.7428708640808,13.3625117381677,18.1234157515605,14.8870615122431
"9",14.4362207387202,10.593615782991,12.2497479733242,11.0040268519406,12.215056282883,15.7147085712649,12.0753854605175,11.7676965553928,11.4636524076235,11.1250154726387,18.0506111047821,14.5564647747779,12.9950563253752,11.3921612211162,12.6531756066401,10.8938668799204,17.9281180031257,10.9789370853225,12.0218813957651,14.0190027259544,11.0028631372148,13.4059352988315,12.1390930974546,10.3987913704718,12.5159887662179,10.7407564299802,9.25240802796322,12.4672557746175,13.5862705803337,10.9738671150056
"10",16.7469497338215,13.4900241520694,14.849770743317,14.5059587485682,14.9811241631733,10.8281974141564,15.2059518510649,13.3612459700747,13.0526228282562,13.8035456572828,17.713573687603,17.8187135225786,14.6864173087745,15.1110546572009,14.8693433706253,20.3600744029022,18.2314466579943,12.9776372538054,15.4760596924735,17.0413057080793,13.9347005778408,16.689265173358,14.1819091930226,12.9736256737291,17.895382981225,12.9391126111057,13.8366013171214,15.6556272348894,15.4423408260606,13.9081846912796
